Project Name,Version Number
org.codehaus.groovy:groovy-jdk14,1.6.0
net.sourceforge.tink:tink-app,0.0.1
com.pavelvlasov:jsel,1.1
org.codehaus.groovy:groovy-all,1.1-beta-2
org.codehaus.gant:gant_groovy1.5,1.5.0
org.cyclopsgroup:jcli,1.0-alpha-1
org.ow2.frascati.factory:frascati-factory-tools,1
org.hammurapi:historyoutput,3.17.0
net.sf.jipcam:jipcam,0.9.1
org.apache.directory.server:apacheds-server-tools,1.0.0
groovy:groovy-all-minimal,1
maven:commons-jelly,1.0.1-20060717
org.andromda.maven.plugins:andromda-cartridge-plugin,3.2
org.apache.tuscany.sca:tuscany-contrib2wsdl,1.5
org.spark-project.hive:hive-service,0.13.1
org.apache.hama:hama-core,0.3.0-incubating
com.googlecode.linkedin-j:linkedin-j,1.0.416
com.legsem.legstar:legstar-cob2xsd,0.3.3
org.kaazing:robot.all,0.0.0.10
org.apache.hive:hive-common,0.10.0
net.bpelunit:net.bpelunit.utils.bptstool,1.6.1
org.apache.sqoop:sqoop-client,1.99.1
org.smali:util,2.0.3
org.ow2.orchestra.common:gwt-soapui,4.9.0
com.rabbitmq:rabbitmq-client,1.3.0
org.codehaus.plexus:plexus-cli,1
org.krysalis:krysalis-barcode,1.0beta
org.italiangrid:voms-clients,3.0.5
de.skiptag.roadrunner:roadrunner-netty,0.1
org.perfcake:perfcake,0.3.1
fr.iscpif.gridscale:glite-security-voms_2.11,1.1
net.peachjean.modularwebapp:modularwebapp,1.0.0
org.apache.maven.plugins:maven-release-plugin,2.0-beta-2
org.assertj:assertj-assertions-generator,1.3.0
org.easyb:easyb,0.7
edu.vt.middleware:vt-ldap,3.3.1
com.tngtech.java:config-builder,1
groovy:groovy-all,1.1-beta-1
uk.bl.wa.discovery:solr-shade,2.0.0
edu.uiuc.ncsa.security:ncsa-security-util,1.0.6
com.nflabs.zeppelin:zeppelin-cli,0.1.0
org.apache.servicemix.bundles:org.apache.servicemix.bundles.elasticsearch,2.0.0_1
net.dongliu:apk-parser,1.4.2
org.caffinitas.ohc:ohc-benchmark,0.2
com.groupon.odo:client,1.0.0-beta.10
org.apache.synapse:Apache-Synapse,2.0.0
io.brooklyn.example:brooklyn-example-hello-world-hadoop-jar,0.4.0
org.moeaframework:moeaframework,2.1
info.mikaelsvensson.devtools:analysis,1.2
org.graphchi:graphchi-java_2.10,0.2.1
com.netflix.governator:governator-commons-cli,1.10.1
org.grooscript:grooscript,0.4.4
com.netflix.raigad:raigad-es-extensions,132.0.2
eu.ralph-schuster:b4j,1.1
commons-jelly:commons-jelly-tags-soap,20040902.07
com.legsem.legstar:protobuf-cobol,0.1
eu.ralph-schuster:icescrum-stylesheets,1.0.0
com.github.widebase:widebase-plant_2.9.2,0.2.3
org.ow2.orchestra:orchestra-axis,4.4.0
org.mule:mule-core,1.4.0
org.objectweb.proactive:proactive-programming,5.1.0
org.cassandraunit:cassandra-unit,1.0.1.4
cc.twittertools:twitter-tools-core,1.4.0
com.netflix.priam:priam,1.1.20
org.objectweb.proactive:proactive-programming-bundle,5.2.0-update-10
com.baulsupp.kolja:kolja-curses,0.9.1
com.celexus:conniption,1.0.2
at.salzburgresearch.nodekeeper:nodekeeper-java,1.1
net.dongliu.apk-parser:apk-parser,1
net.sourceforge.jeuclid:jeuclid-cli,3.1.1
org.hudsonci.stapler:commons-jelly,1.1-hudson-20120704
de.vandermeer:svg2vector,1.0.0
com.github.markusbernhardt:xml-doclet,1.0.0
eu.unicore:unicore-client-wrapper,1.6.0-p4_1
com.haulmont.yarg:yarg,1.0.26
jmscts:jmscts,0.5-b2
org.apache.hive:hive-beeline,0.11.0
org.carrot2:morfologik-stemming,1.2.2
org.bitbucket.t1ck:t1ck-merger_2.9.1,0.1.0
eu.ralph-schuster:baselib,1.2.2
net.seedboxer:ftp-common,0.6
commons-jelly:commons-jelly-tags-jsl,20040902.07
org.jumpmind.symmetric:symmetric-ds,1.3.2
org.sonatype.nexus:nexus-indexer,1.0.0
com.netflix.exhibitor:exhibitor-standalone,1.0.0
org.jvnet.hudson:commons-jelly,1.1-hudson-20071021
com.github.timurstrekalov:saga-cli,1.4.2
org.apache.bookkeeper:bookkeeper-server,4.0.0
org.spark-project.hive:hive-beeline,0.12.0
cc.twittertools:twitter-tools,1.0.0
org.wikibrainapi:wikibrain-utils,0.0.1
org.apache.qpid:qpid-amqp-1-0-client,0.18
com.cognifide.securecq:secure-cq,1.0.1
com.findwise.hydra:hydra-core,0.2.0
net.sf.clirr:clirr-core,0.6
pl.touk:sputnik,1.1.0
org.apache.zookeeper:zookeeper,3.5.0-alpha
org.kie.modules:org-apache-commons-cli-main,6.1.0.Beta1
no.antares:clu.hitman,0.5
org.seqdoop:hadoop-bam,7.0.0
org.apache.commons:commons-jci-examples,1
org.linkedin:org.linkedin.zookeeper-cli-impl,1.1.0
org.apache.marmotta:ldpath-backend-file,3.0.0-incubating
org.apache.maven.release:maven-release-manager,1.0-alpha-5
org.easyb:easyb-dbunit-plugin,0.7
org.apache.maven.plugins:maven-projecthelp-plugin,2.0-beta-1
net.myrrix:myrrix-web,0.7
com.8x8.cloud:swagger2raml,1.0.0
org.duracloud.tools:prefixupdatetool,1.0.0
org.openfast:openfast,1.0.1
org.cleartk:cleartk-ml-libsvm-tk,2.0.0
org.apache.james:apache-jspf,0.9.5
org.apache.stanbol:org.apache.stanbol.entityhub.indexing.geonames,0.10.0-incubating
uk.bl.wa.warc-explorer:warc-explorer-player,1.0.0
org.akhikhl.gretty:gretty-starter,1.1.0
com.yammer.dropwizard:dropwizard-core,0.1.0
org.daisy.pipeline.modules:dtbook-to-daisy3,2.1.2
ch.sahits:sahitsUtil,1.2.4
groovy:groovy-all-1.0-jsr,5
org.sonatype.nexus:nexus-webapp-compile,1.4.0
edu.jhu.pacaya:pacaya,2.0.1
org.openbel:org.openbel.framework.core,2.0.0
net.antidot:db2triples,1.0.1
org.apache.hadoop:hadoop-common,0.22.0
org.apache.ivy:ivy,2.0.0-beta1
genjava:gj-tools,1
com.findwise.hydra:hydra-inserter,0.4.0
com.replash:replash-options,0.7
commons-jelly:commons-jelly-tags-swt,20040902.07
org.apache.hama:hama,0.2.0-incubating
com.netflix.raigad:raigad,132.0.2
com.wizecommerce:hecuba-client,0.0.44
org.apache.hive:hive-service,0.13.0
net.sourceforge.jeuclid:jeuclid-mathviewer,3.1.0
org.cethos.tools:ninepatch-convert,1.0.0
org.apache.rat:apache-rat-project,0.1
guru.nidi.raml:raml-tester-proxy,0.0.1
checkstyle:checkstyle,4.2
com.coherentlogic.coherent.data-model:demo-application,0.9.0
com.github.sharispe:slib-tools-module,0.9
geronimo:j2ee-system-experimental,1
org.drombler.commons:drombler-commons-fx-core,0.1
org.hudsonci.stapler:commons-jelly-tags-junit,1.0-hudson-20120704
com.sumologic.api.client:sumo-java-client,2
org.smali:baksmali,2.0.3
org.rundeck:rundeck-core,1.4.4
us.codecraft:webmagic-scripts,0.7.1
com.taobao.metamorphosis:metamorphosis-tools,1.4.2
com.digitalpebble.behemoth:behemoth-language-id,1
com.juvenxu.portable-config-maven-plugin:portable-config-maven-plugin,1.1.0
io.joynr.examples:radio-app,0.27.0
edu.berkeley.cs.shark:hive-common,0.11.0-shark
io.github.repir:RepIRProx,0.25
com.enioka.jqm:jqm-engine,1.1.6
io.nuun:nuun-cli-plugin,1.0.M1
maven:maven,1
net.sf.dbmonster:dbmonster-core,1.0.4
org.springframework.amqp:spring-rabbit,1.0.0.RELEASE
org.apache.airavata:registry-tool,0.14
com.norconex.collectors:norconex-importer,2.0.0
org.apache.maven.indexer:indexer-core,3.1.0
org.jasig:ConfluenceIrcLogger,1.1.0
com.linkedin.pegasus:restli-tools,10.1.3
org.littleshoot:littleproxy,0.5
org.linkedin:org.linkedin.glu.agent-server-impl,1.1.0
org.jvnet.hudson.plugins:maven-dependency-update-trigger,1.1
com.octo.mtg:grails-0.6,0.2
jp.vmi:selenese-runner-java,1.0.0
org.cyclopsgroup:jmxterm,0.1
com.github.dreamhead:moco-runner,0.10.0
net.bpelunit:testsuitestats,1.6.1
org.apache.hadoop:hadoop-core,0.20.2
org.apache.maven.plugins:maven-plugin-plugin,2.0-beta-1
org.easyb:easyb-core,1.1
commons-jelly:commons-jelly-tags-html,20040902.07
org.fiware.kiara:kiaragen,0.1.0
org.bitbucket.deepdiff:deepdiff-app,1.0.0
si.urbas:icircles,0.0.1
org.apache.airavata:apache-airavata-client-java-sdk,0.12
org.spark-project.hive:hive-common,0.12.0
org.nuunframework:nuun-cli-plugin,1.0.0
org.hammurapi:historyinspector-db,3.17.0
com.vaadin:vaadin-theme-compiler,7.0.0
com.tinkerpop.rexster:rexster-console,2.1.0
org.gridgain:gridgain-hadoop2,6.0.2
net.sourceforge.jmol:jmol,12.0.47
com.io7m.jstructural:io7m-jstructural-tools,2.0.0
org.molgenis:molgenis-disease-matcher,1.2.0
org.rhq:rhq-server-control,4.10.0
com.bericotech:clavin,2.0.0
org.rhq:rhq-data-migration,4.10.0
nanocontainer:nanocontainer-distribution,1
org.objectweb.mind:mindoc,0.1-beta-1
org.drombler.commons:drombler-commons-fx-docking,0.3
org.codehaus.gant:gant_groovy1.9,1.9.6
com.twitter:scrooge-runtime_2.9.2,3.3.2
geronimo:upgrade-cli,1.1
org.apache.httpcomponents:httpcore-ab,4.2
org.hbasene:hbase-core,0.20.4
geronimo:client-system,1
openejb:openejb-builder,2.0-G1M5
edu.mit.simile:jpeg2rdf,1.1
com.ovea.tajin.server:tajin-server-core,1.0.b1
de.androbit:raml-converter,0.1
org.apache.hive:hive-metastore,0.10.0
org.codehaus.gant:gant_groovy1.6,1.5.0
com.saucelabs:ci-sauce,1.1
org.codehaus.sonar-plugins:sonarncss,0.1
org.apache.servicemix.bundles:org.apache.servicemix.bundles.hadoop-client,2.3.0_1
org.clueweb:clueweb-tools,0.1
com.vaadin:vaadin-buildhelpers,7.2.0
net.sourceforge.jeuclid:jeuclid-core,3.1.0
net.sf.jgap:jgap,3.4.4
org.apache.servicemix.bundles:org.apache.servicemix.bundles.hadoop-core,0.20.203.0_1
org.kohsuke.droovy:groovy,1.6.3-kohsuke-1
nl.systemsgenetics:GeneticRiskScoreCalculator,0.0.1
org.apache.qpid:qpid-broker,0.14
com.rabbitmq:amqp-client,1.3.0
commons-jelly:commons-jelly-tags-junit,20040902.06
com.buschmais.jqassistant.scm:jqassistant.scm.cli,1.0.0
groovy:groovy-1.0-jsr,1
org.apache.maven.doxia:doxia-converter,1
net.sf.barcode4j:barcode4j-fop-ext-0.20.5-complete,2
de.vandermeer:svg2emf,1.0.0
com.rockagen:commons-lib,0.1.10-RELEASE
org.apache.tuscany.sca:tuscany-node-launcher,2
commons-jelly:commons-jelly-tags-validate,20040902.07
net.myrrix:myrrix-client,0.4
com.cronutils:cron-utils,6.0.0
com.puppycrawl.tools:checkstyle,5.2
org.eclipse.birt.runtime.3_7_1:org.eclipse.birt.runtime,3.7.1
com.testingbot:TestingBotTunnel,1
com.github.ptgoetz:stemshell,0.1.0
net.sourceforge.segment:segment,1.4.0
com.google.code.maven-play-plugin.com.asual.lesscss:lesscss-engine,1.3.0-20120408
org.apache.juddi:uddi-migration-tool,3.2.0
org.apache.helix:helix-core,0.6.0-incubating
commons-jelly:commons-jelly-tags-jmx,20040902.07
com.twitter:scrooge-runtime_2.10,3.3.2
org.bitbucket.bradleysmithllc.etlunit:core,1.6.10
org.cethos.tools:ninebatch,1.1
org.apache.maven.plugins:maven-site-plugin,2.0-beta-1
org.gridgain:gridgain-platform,6.0.2
com.github.livesense:jodconverter-core,1.0.3
com.googlecode.foresite-toolkit:foresite,0.9
commons-jelly:commons-jelly-tags-quartz,20040902.07
openejb:openejb-core,2.0-G1M5
net.mindengine:galen,0.10.0
net.sf.jnrpe:jnrpe-lib,1.0.1-beta-01
com.bah.lucene:lucene-hdfs-directory,0.3.0
org.apache.tika:tika-server,1.1
org.eclipse.xtext:org.eclipse.xtext.xtext,2.5.0
org.codehaus.groovy:groovy,1.1-beta-2
com.alexkasko.krakatau:krakatau-cli,1
com.netflix.eureka2:eureka-server,2.0.0-DP1
com.googlecode.etl-unit:etlunit-core,1.6.0
com.googlecode.ssd-utils:java-launcher,0.0.1
org.sculptorgenerator:sculptor-generator-library,3.0.0
org.codehaus.jtstand:jtstand-ui,1
de.skiptag.roadrunner:roadrunner-vertx,0.1
com.github.riccardove.easyjasub:easyjasub-cmd,0.1.0
org.apache.cassandra:apache-cassandra,0.7.10
com.github.axet:lookup,0.0.1
com.adaptrex:adaptrex-tools,1.0-Alpha2
org.mitre:json-web-key-generator,0.1
io.sightly:io.sightly.tck,1.0.0
org.bonitasoft.engine:bonita-server,7.4.0
org.apache.maven:maven-core,2
directory-clients:ldap-clients,0.9
uk.ac.ebi.gxa:atlas-test,2.0-rc1
org.kaazing:robot.junit,0.0.0.2
groovy:groovy,1
edu.vt.middleware:vt-crypt,2.1.1
org.codehaus.gant:gant_groovy1.7,1.5.0
org.grouplens.lenskit:lenskit-eval,1.1
org.hammurapi:hammurapi-db,3.17.0
org.akhikhl.gretty:gretty-runner,1.1.0
org.jumpmind.symmetric:symmetric,1.4.0
org.ldaptive:ldaptive,1
org.springframework.ldap:spring-ldap-odm,1.3.2.RELEASE
org.bitbucket.t1ck:t1ck-notify_2.9.1,0.1.0
com.asual.lesscss:lesscss-engine,1.3.0
commons-jelly:commons-jelly-tags-avalon,20040902.07
com.github.cflint:CFLint,0.10.0
org.gridgain:gridgain-hpc,6.1.5
eu.socialsensor:multimedia-indexing,0.2
com.github.widebase:widebase-plant_2.9.1,0.2.2
com.mgmtp.perfload:perfload-perfmon,2.2
com.googlecode.linkedin-j:linkedin-j-examples,1.0.416
com.woorea:openstack-console,3.0.0
org.apache.hive:hive-cli,0.10.0
org.hbasene:hadoop-core,0.20.2-with-200-826
com.plausiblelabs.warwizard:warwizard-core,0.4.5
org.wikibrainapi:wikibrain-loader,0.0.1
org.jcoderz.fawkez:fawkez-commons,2.0.0
commons-jelly:commons-jelly-tags-define,20030211.14
me.jaimegarza:syntax,4.0.0
