ID,Platform,Project Name,Project ID,Version Number,Version ID,Dependency Name,Dependency Platform,Dependency Kind,Optional Dependency,Dependency Requirements,Dependency Project ID
45701610,Maven,org.codehaus.groovy:groovy-jdk14,334936,1.6.0,1272359,commons-cli:commons-cli,Maven,compile,FALSE,1.0,642518
45702392,Maven,net.sourceforge.tink:tink-app,334963,0.0.1,1272630,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45703707,Maven,com.pavelvlasov:jsel,335033,1.10,1273177,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45295097,Maven,org.codehaus.groovy:groovy-all,335215,1.1-beta-2,3768309,commons-cli:commons-cli,Maven,compile,FALSE,1.0,642518
45710179,Maven,org.codehaus.gant:gant_groovy1.5,335301,1.5.0,1275552,commons-cli:commons-cli,Maven,compile,FALSE,1.0,642518
45711213,Maven,org.cyclopsgroup:jcli,335327,1.0-alpha-1,1275761,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45712528,Maven,org.ow2.frascati.factory:frascati-factory-tools,335384,1.0,1276223,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45721663,Maven,org.hammurapi:historyoutput,335617,3.17.0,1278356,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45727840,Maven,net.sf.jipcam:jipcam,335922,0.9.1,1280942,commons-cli:commons-cli,Maven,compile,FALSE,1.0,642518
45730629,Maven,org.apache.directory.server:apacheds-server-tools,336111,1.0.0,1282535,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45733979,Maven,groovy:groovy-all-minimal,336286,1.0,1283795,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45735772,Maven,maven:commons-jelly,336376,1.0.1-20060717,1284462,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45739943,Maven,org.andromda.maven.plugins:andromda-cartridge-plugin,336635,3.2,1286775,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45741203,Maven,org.apache.tuscany.sca:tuscany-contrib2wsdl,336751,1.5,1288001,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45763320,Maven,org.spark-project.hive:hive-service,337678,0.13.1,1719186,commons-cli:commons-cli,Maven,runtime,FALSE,${commons-cli.version},642518
45187412,Maven,org.apache.hama:hama-core,337715,0.3.0-incubating,1719420,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45187771,Maven,com.googlecode.linkedin-j:linkedin-j,337731,1.0.416,1719556,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45778457,Maven,com.legsem.legstar:legstar-cob2xsd,337815,0.3.3,1720153,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45791465,Maven,org.kaazing:robot.all,338163,0.0.0.10,1722463,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45301738,Maven,org.apache.hive:hive-common,338213,0.10.0,2164758,commons-cli:commons-cli,Maven,compile,FALSE,1.2,642518
45804528,Maven,net.bpelunit:net.bpelunit.utils.bptstool,338361,1.6.1,1723691,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45805508,Maven,org.apache.sqoop:sqoop-client,338390,1.99.1,2165311,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45824790,Maven,org.smali:util,338910,2.0.3,1727701,commons-cli:commons-cli,Maven,compile,FALSE,1.2,642518
45827651,Maven,org.ow2.orchestra.common:gwt-soapui,338936,4.9.0,1727797,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45190812,Maven,com.rabbitmq:rabbitmq-client,340228,1.3.0,1737334,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45870172,Maven,org.codehaus.plexus:plexus-cli,340260,1.0,1737599,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45887478,Maven,org.krysalis:krysalis-barcode,340688,1.0beta,1741163,commons-cli:commons-cli,Maven,runtime,FALSE,1.0,642518
45895374,Maven,org.italiangrid:voms-clients,340969,3.0.5,1743127,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45905091,Maven,de.skiptag.roadrunner:roadrunner-netty,341310,0.1,1745573,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45953784,Maven,org.perfcake:perfcake,342918,0.3.1,1756610,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
64191159,Maven,fr.iscpif.gridscale:glite-security-voms_2.11,343131,1.100,11011074,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45960916,Maven,net.peachjean.modularwebapp:modularwebapp,343185,1.0.0,1758348,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45961158,Maven,org.apache.maven.plugins:maven-release-plugin,343196,2.0-beta-2,1758462,commons-cli:commons-cli,Maven,compile,FALSE,1.0,642518
45966565,Maven,org.assertj:assertj-assertions-generator,343358,1.3.0,1759828,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45970676,Maven,org.easyb:easyb,343498,0.7,1760974,commons-cli:commons-cli,Maven,runtime,FALSE,1.1,642518
45976903,Maven,edu.vt.middleware:vt-ldap,343749,3.3.1,1762672,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45981186,Maven,com.tngtech.java:config-builder,343967,1.0,1764168,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
45983116,Maven,groovy:groovy-all,344046,1.1-beta-1,1764742,commons-cli:commons-cli,Maven,compile,FALSE,1.0,642518
45986717,Maven,uk.bl.wa.discovery:solr-shade,344132,2.0.0,1765473,commons-cli:commons-cli,Maven,compile,FALSE,1.2,642518
45925913,Maven,edu.uiuc.ncsa.security:ncsa-security-util,344215,1.0.6,1765979,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
46002134,Maven,com.nflabs.zeppelin:zeppelin-cli,344511,0.1.0,1768081,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
46021960,Maven,org.apache.servicemix.bundles:org.apache.servicemix.bundles.elasticsearch,345017,2.0.0_1,5725138,commons-cli:commons-cli,Maven,compile,FALSE,1.3.1,642518
46028804,Maven,net.dongliu:apk-parser,345256,1.4.2,1773777,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
46037982,Maven,org.caffinitas.ohc:ohc-benchmark,345565,0.2,1776154,commons-cli:commons-cli,Maven,runtime,FALSE,1.2,642518
